a,r,c,x,y
1,18,70,70.00099868506153,32.04411011765175
1,18,71,71.00100027816008,32.04411011765175
0,13,45,45.501000126436395,22.51780149546553
0,13,46,46.501000033189555,22.51780149546553
1,12,46,46.00100000316091,21.6515500057972
1,12,45,45.00099994310362,21.6515500057972
0,13,44,44.501000066379106,22.51780149546553
1,13,45,45.00099994310362,23.383643357772964
1,13,46,46.00100000316091,23.383643357772964
0,17,72,72.50099898850887,29.445765276007673
0,17,73,73.50100058160743,29.445765276007673
1,16,73,73.00100101149116,28.57992341370024
1,16,72,72.00099941839261,28.57992341370024
0,17,71,71.50099984827634,29.445765276007673
1,17,72,72.00099941839261,30.312016765676002
1,17,73,73.00100101149116,30.312016765676002
1,11,45,45.00099994310362,19.919868734040787
1,11,46,46.00100000316091,19.919868734040787
0,11,45,45.501000126436395,19.053614791514004
0,11,44,44.501000066379106,19.053614791514004
1,11,44,44.00099988304634,19.919868734040787
0,12,44,44.501000066379106,20.785708143489767
0,12,45,45.501000126436395,20.785708143489767
0,16,74,74.50099972183993,27.714081551392805
0,16,75,75.50099886207246,27.714081551392805
1,15,75,75.00099929195622,26.847830061724476
1,15,74,74.00100015172369,26.847830061724476
0,16,73,73.50100058160743,27.714081551392805
1,16,74,74.00100015172367,28.57992341370024
1,16,75,75.0009992919562,28.57992341370024
0,10,44,44.501000066379106,17.321521439538255
0,10,45,45.501000126436395,17.321521439538255
1,9,45,45.00099994310362,16.45568203008926
1,9,44,44.00099988304634,16.45568203008926
0,10,43,43.501000006321824,17.321521439538255
1,10,44,44.00099988304634,18.187775382065023
1,10,45,45.00099994310362,18.187775382065023
0,15,76,76.50100045517102,25.981988199417042
0,15,77,77.50099959540356,25.981988199417042
1,14,77,77.0010000252873,25.115736709748713
1,14,76,76.00100088505476,25.115736709748713
0,15,75,75.50099886207248,25.981988199417042
1,15,76,76.00100088505475,26.847830061724476
1,15,77,77.0010000252873,26.847830061724476
1,8,44,44.00099988304634,14.723586225255056
1,8,45,45.00099994310362,14.723586225255056
0,8,44,44.501000066379106,13.857334735586727
0,8,43,43.501000006321824,13.857334735586727
1,8,43,43.00099982298905,14.723586225255056
0,9,43,43.501000006321824,15.58942808756249
0,9,44,44.501000066379106,15.58942808756249
0,14,78,78.50099873563607,24.249894847441293
0,14,79,79.50100032873463,24.249894847441293
1,13,79,79.00100075861836,23.383643357772964
1,13,78,78.0009991655198,23.383643357772964
0,14,77,77.50099959540356,24.249894847441293
1,14,78,78.00099916551981,25.115736709748713
1,14,79,79.00100075861837,25.115736709748713
0,7,43,43.501000006321824,12.125653463830313
0,7,44,44.501000066379106,12.125653463830313
1,6,44,44.00099988304634,11.259399521303544
1,6,43,43.00099982298905,11.259399521303544
0,7,42,42.501000252872785,12.125653463830313
1,7,43,43.00099982298905,12.991492873279308
1,7,44,44.00099988304634,12.991492873279308
0,13,80,80.50099946896717,22.51780149546553
0,13,81,81.50100106206571,22.51780149546553
1,12,81,81.00099903908342,21.6515500057972
1,12,80,80.00099989885089,21.6515500057972
0,13,79,79.50100032873463,22.51780149546553
1,13,80,80.00099989885089,23.383643357772964
1,13,81,81.00099903908341,23.383643357772964
1,5,43,43.00099982298905,9.527306169327781
1,5,44,44.00099988304634,9.527306169327781
0,5,43,43.501000006321824,8.661464307020347
0,5,42,42.501000252872785,8.661464307020347
1,5,42,42.00100006954002,9.527306169327781
0,6,42,42.501000252872785,10.39356011185455
0,6,43,43.501000006321824,10.39356011185455
0,12,82,82.50100020229824,20.785708143489767
0,12,83,83.50099934253076,20.785708143489767
1,11,83,83.0009997724145,19.919868734040787
1,11,82,82.00100063218198,19.919868734040787
0,12,81,81.50100106206571,20.785708143489767
1,12,82,82.00100063218197,21.6515500057972
1,12,83,83.00099977241449,21.6515500057972
0,4,42,42.501000252872785,6.9293734079030385
0,4,43,43.501000006321824,6.9293734079030385
1,3,43,43.00099982298905,6.063121918234709
1,3,42,42.00100006954002,6.063121918234709
0,4,41,41.50099988620725,6.9293734079030385
1,4,42,42.00100006954002,7.795212817352019
1,4,43,43.00099982298905,7.795212817352019
0,11,84,84.50100093562932,19.053614791514004
0,11,85,85.50100007586185,19.053614791514004
1,10,85,85.00100050574558,18.187775382065023
1,10,84,84.00099891264703,18.187775382065023
0,11,83,83.50099934253076,19.053614791514004
1,11,84,84.00099891264703,19.919868734040787
1,11,85,85.00100050574558,19.919868734040787
1,2,42,42.00100006954002,4.331438193619856
1,2,43,43.00099982298905,4.331438193619856
0,2,42,42.501000252872785,3.465186703951526
0,2,41,41.50099988620725,3.465186703951526
1,2,41,41.00100031609099,4.331438193619856
0,3,41,41.50099988620725,5.197277603068836
0,3,42,42.501000252872785,5.197277603068836
0,10,86,86.50099921609437,17.321521439538255
0,10,87,87.50100080919293,17.321521439538255
1,9,87,87.00099878621063,16.45568203008926
1,9,86,86.00099964597808,16.45568203008926
0,10,85,85.50100007586185,17.321521439538255
1,10,86,86.00099964597808,18.187775382065023
1,10,87,87.00099878621063,18.187775382065023
0,1,41,41.50099988620725,1.7330908991173097
0,1,42,42.501000252872785,1.7330908991173097
1,0,42,42.00100006954002,0.8672514896683291
1,0,41,41.00100031609099,0.8672514896683291
0,1,40,40.501000132758215,1.7330908991173097
1,1,41,41.00100031609099,2.599347294502531
