a,r,c,a_shrinked,r_shrinked,c_shrinked
1,14,60,1,3,20
0,14,57,1,3,19
1,13,62,0,3,20
1,12,57,0,3,18
1,12,64,1,2,21
0,11,56,1,2,18
1,11,66,0,2,21
1,9,56,0,2,17
1,10,68,1,1,22
0,8,55,1,1,17
1,9,70,0,1,22
1,6,55,0,1,16
1,8,72,1,0,23
0,5,54,1,0,16
1,7,74,0,0,23
1,3,54,0,0,15
0,13,59,0,3,19
0,12,61,1,2,20
1,11,59,1,2,19
0,11,63,0,2,20
0,10,58,0,2,18
0,10,65,1,1,21
1,8,58,1,1,18
0,9,67,0,1,21
0,7,57,0,1,17
0,8,69,1,0,22
1,5,57,1,0,17
0,7,71,0,0,22
0,4,56,0,0,16
1,10,61,0,2,19
1,9,63,1,1,20
0,9,60,1,1,19
1,8,65,0,1,20
1,7,60,0,1,18
1,7,67,1,0,21
0,6,59,1,0,18
1,6,69,0,0,21
1,4,59,0,0,17
0,8,62,0,1,19
0,7,64,1,0,20
1,6,62,1,0,19
0,6,66,0,0,20
0,5,61,0,0,18
1,5,64,0,0,19
0,26,47,1,8,18
0,27,45,0,9,17
1,24,47,0,8,17
1,26,43,0,9,16
0,23,46,1,7,17
0,26,40,0,9,15
1,21,46,0,7,16
1,25,38,0,9,14
0,20,45,1,6,16
0,25,35,0,9,13
1,18,45,0,6,15
1,24,33,0,9,12
0,17,44,1,5,15
0,24,30,0,9,11
1,15,44,0,5,14
1,23,28,0,9,10
0,14,43,1,4,14
0,23,25,0,9,9
1,12,43,0,4,13
1,22,23,0,9,8
0,11,42,1,3,13
0,22,20,0,9,7
1,9,42,0,3,12
1,21,18,0,9,6
0,8,41,1,2,12
0,21,15,0,9,5
1,6,41,0,2,11
1,20,13,0,9,4
0,5,40,1,1,11
0,20,10,0,9,3
1,3,40,0,1,10
1,19,8,0,9,2
0,2,39,1,0,10
0,19,5,0,9,1
1,0,39,0,0,9
1,18,3,0,9,0
1,25,45,1,8,17
0,24,44,0,8,16
0,25,42,1,8,16
1,22,44,1,7,16
1,24,40,1,8,15
0,21,43,0,7,15
0,24,37,1,8,14
1,19,43,1,6,15
1,23,35,1,8,13
0,18,42,0,6,14
0,23,32,1,8,12
1,16,42,1,5,14
1,22,30,1,8,11
0,15,41,0,5,13
0,22,27,1,8,10
1,13,41,1,4,13
1,21,25,1,8,9
0,12,40,0,4,12
0,21,22,1,8,8
1,10,40,1,3,12
1,20,20,1,8,7
0,9,39,0,3,11
0,20,17,1,8,6
1,7,39,1,2,11
1,19,15,1,8,5
0,6,38,0,2,10
0,19,12,1,8,4
1,4,38,1,1,10
1,18,10,1,8,3
0,3,37,0,1,9
0,18,7,1,8,2
1,1,37,1,0,9
